Ref..,Items,Acceptable.Key.s,Notes,Domain,Construct,Subconstruct,Level,grade,example,type,title,alternative,SkillVariant,Skill
R2.2.5_M,How did the trout get its name? The government’s actions suggest that people’s needs are more important than the Sevan trout. Identify evidence from the text that supports this point of view.,Refers to the lake Refers to encouraging more fishing or water needed for people more than the trout,"The evidence that the trout is named after the lake is prominent, as it is implied in the first sentence as the only place where the trout is found. The connection to the trout’s name is not explicit. The idea that the government’s actions suggest people’s needs are more important than those of the trout is implied. There are two sources of evidence: people are encouraged to fish by putting more fish in the lake, and people’s need for water is not challenged even though it threatens the trout. Another way to save the trout is required. Both pieces of evidence are prominent, as they are the main ideas in the second and third paragraphs, respectively. The idea that the government’s actions suggest people’s needs are more important than those of the trout is implied. There are two sources of evidence: people are encouraged to fish by putting more fish in the lake, and people’s need for water is not challenged even though it threatens the trout. Another way to save the trout is required. Both pieces of evidence are prominent, as they are the main ideas in the second and third paragraphs, respectively.",R,2,2,M,6,1,Information,Sevan Trout,0,a,5
R2.2.6_E,What is the writer’s attitude to the problems of the Sevan trout? A. The writer knows how to solve them. B. The writer hopes that the problem will be solved. C. The writer does not think anyone can solve them. D. The writer thinks they are not worth solving.,B. The writer hopes that the problem will be solved.,"The writer’s attitude to the problems of the Sevan trout can be gleaned from some prominent clues indicating that the writer clearly wants the trout to be saved, and some more subtle clues that the writer does not have any ideas or suggestions about how to do this, but hopes that it will happen.",R,2,2,E,6,1,Information,Sevan Trout,0,a,6
R2.2.6_M,This text is about the problems of the Sevan trout. Which of these is a good summary of the text? A. The problems are solved. B. The problems are unknown. C. The problems are minor. D. The problems are difficult.,D. The problems are difficult.,"The main idea that the Sevan trout still needs to be saved is clearly stated, but the idea that saving it is difficult is implied. This requires synthesis of prominent information from across the whole of the text. There are multiple clues to support this, as the problems outlined in the second paragraph identify unintended serious consequences, only some of which are resolved by banning fishing, and the problems of the water level dropping are left as unresolvable with a new solution desired. The incorrect options reflect substantial misunderstanding of the main idea.",R,2,2,M,6,1,Information,Sevan Trout,0,a,6
R1.2.1_M,Why were new fish put in the lake?    ,"Refers to food supply, e.g., more fish to catch/eat  ",A direct match can be made to “new fish” in the second sentence of the second paragraph. This sentence must be linked back to the first sentence to recognize that the fish listed are all new fish. The text explicitly states that these fish were put in the lake for people to catch and eat. The reference in the same paragraph to the Sevan trout (the original fish) is competing information.,R,1,2,M,6,1,Information,Sevan Trout,0,a,1
R1.2.1_P,Who banned fishing in the lake?   ,Refers to the government  ,"A direct match can be made to “banned fishing in the lake” at the start of the third paragraph. The required information is adjacent to the matched words and there is limited competing information, as farmers are unlikely to be issuing a ban and are not mentioned until later in the paragraph.",R,1,2,P,6,1,Information,Sevan Trout,0,a,1
R1.3.1_M,What reduced the amount of food available for the Sevan trout?   ,Refers to new fish (eating the Sevan trout’s food)  ,"The required information is located towards the end of the second paragraph. The synonymous match requires recognizing that if the new fish ate a lot of the food that the Sevan trout used to eat then this means the new fish were the cause of reduced food for the Sevan trout. There is competing information as there were other threats to the Sevan trout (reduced water levels and more people catching the Sevan trout), but these were not the cause of reduced food.",R,1,3,M,6,1,Information,Sevan Trout,0,a,1
R2.1.1_M,Copy the words from the text that mean the same as endangered.     ,Writes “becoming extinct” or “extinct”     ,"The second sentence of the text identifies that the fish are “in danger” of becoming extinct. In English, morphological clues from the base word “danger” in “endangered” support identifying that becoming extinct is likely related to being endangered. Endangered is referred to in the final paragraph with an example of its meaning being “life threatening,” as the fish are endangered because they are often not able to breed. Note the familiarity of the words “endangered” and “extinct” in English is heavily dependent on context. This will affect the difficulty of this item.",R,2,1,M,6,1,Information,Sevan Trout,0,a,1
R2.2.1_E,Why is the Sevan trout in danger of becoming extinct? Give two reasons.    ,"Refers to two of: other fish eating food, being caught, water levels dropping / not being able to breed  ","A connection needs to be made from the statement in the opening paragraph identifying that the Sevan trout is in danger of becoming extinct across to the second sentence of the middle paragraph, where two reasons are provided. A third reason can be identified by making a connection to the final paragraph. Any two of these reasons is acceptable, making it more challenging and thus “exceeds” rather than “meets.” There is limited competing information, as the first sentence of the second paragraph identifies a reason, but this is insufficient on its own to explain the trout’s problem.",R,2,2,E,6,1,Information,Sevan Trout,0,a,1
R2.2.1_M,Why is the Sevan trout in danger of becoming extinct? Give one reason.   ,"Refers to one of: other fish eating food, being caught, water levels dropping / not being able to breed ","A connection needs to be made from the statement in the opening paragraph identifying that the Sevan trout is in danger of becoming extinct across to the second sentence of the middle paragraph, where two reasons are provided. A third reason can be identified by making a connection to the final paragraph. Any one of these reasons is acceptable. There is limited competing information, as the first sentence of the second paragraph identifies a reason, but this is insufficient on its own to explain the trout’s problem.",R,2,2,M,6,1,Information,Sevan Trout,0,a,1
R2.2.4_M,What is the writer’s attitude to the Sevan trout? A. Annoyed B. Caring C. Happy D. Uninterested,B. Caring     ,"The writer’s point of view is not explicitly stated, but there are prominent clues that the writer cares about the Sevan trout: extinction is perceived as a danger; things that threaten the fish are seen as problems; and the most prominent clue is at the end, where the writer calls for a way to save the trout. The writer’s point of view is not explicitly stated.  ",R,2,2,M,6,1,Information,Sevan Trout,0,a,4
R3.3.1_M,Which of the following is an opinion? A. “It has been in danger of becoming extinct for quite some time.” B. “The new fish ate a lot of the food.” C. “The water levels in the lake have dropped.” D. “We still need to find a way to save the Sevan trout.”,D. “We still need to find a way to save the Sevan trout.”        ,"There are prominent clues about which information is an opinion, as this is a statement of a desire, whereas the other statements simply quantify references to time and amount, making them typical statements of fact.        ",R,3,3,M,6,1,Information,Sevan Trout,0,a,1
R2.3.1_E,What is the main idea of the last paragraph? A. The positive effect of banning fishing. B. The cause and effect of low water levels. C. The different ways that water is used. D. How to save the Sevan trout.,B. The cause and effect of low water levels.,"The main idea and the secondary ideas in the last paragraph have been expressed as generalizations, making it a more difficult “exceeds” task to distinguish the main idea. The incorrect options are secondary details that are all mentioned in the last paragraph.",R,2,3,E,6,1,Information,Sevan Trout,0,a,1
R3.1.1_M,What is the purpose of this text? A. To tell a story B. To advertise a product C. To give instructions D. To give information,D. Give information,"Identification of text type requires external knowledge of their different features and styles. Information texts are one of the earliest text types introduced. The text has prominent, familiar features of an information text as it focuses on the Sevan trout and lists several problems that are endangering the trout. The text opens with some background history, so it could be construed as a story, and the description of the problems and solutions could be construed as instructions, providing some limited competing information about text types.",R,3,1,M,6,1,Information,Sevan Trout,0,a,1
R3.2.1_E,The new fish caused two problems. Did banning fishing fix them both?,"Refers to only fixing the trout being caught, but not their food being eaten","The impact of an action needs to be evaluated. Information about fishing being banned needs to be linked back to the previous paragraph where the two problems are clearly outlined. A simple link is required to identify that banning fishing will stop people catching trout, which is one problem solved. However, contrary to expectations, the other problem of the new fish eating the same food as the trout is not resolved and requires extrapolation beyond the text. The new fish are still in the lake, implying that they are still competing for resources, and possibly in even larger numbers, as they also are no longer being caught.",R,3,2,E,6,1,Information,Sevan Trout,0,a,1
R3.2.1_M,Jo and Maria have different opinions about the greatest problem that the Sevan trout faces now. Jo thinks that the greatest problem is the new fish in the lake. Maria thinks that the greatest problem is water levels dropping in the lake. Who do you agree with? Circle one: JoMaria Use evidence from the text to give a reason for your answer.,"Selects Jo and refers to the trout starving/dying through competition for food / lack of food (identifying being caught is incorrect, as this is not a problem now) OR Selects Jo and refers to being unable to breed, thus dying out (lack of water is an insufficient response)","Relevant evidence needs to be identified to justify either Jo’s or Maria’s opinion. The evidence is prominent, as it is located close to each of the separate problems. The extent of the threat to the trout is implied in both cases, which is that the trout will die of starvation or failure to breed.",R,3,2,M,6,1,Information,Sevan Trout,0,a,1
R2.3.1_M,What is the main idea in the description of the house? A. It is a warm place to rest. B. It makes many scary noises. C. It is out of the wind. D. It needs some repairs.,B. It makes scary noises.,"The main idea in the description of the house is that it makes a lot of scary noises. This idea is prominent because it is repeated multiple times with additional detail about the source of the noise or the sound of the noise and is the main focus of the boys’ attention. The need for repairs is a secondary detail that is not elaborated. The house being warm and out of the wind is a reason for staying, but there are no additional details provided to suggest warmth or protection from the wind.",R,2,3,M,6,2,Story,The Old House,0,a,1
R2.3.1_P,This story is called “The Old House.” What is another good name for this story?,"Refers to the house being scary, broken down, empty, ghost- like  OR  Refers to an adventure, a thrilling/frightening experience or any other plausible generalization","Generating an alternative, plausible title of this story requires identifying the main idea. The alternative title can focus on the dilapidated nature of the house, the frightening nature of the experience, or the sense of adventure. This is “partial,” as very simple alternatives to the title, such as, “The scary house” or “Chang and Lee’s adventure,” are acceptable answers. There are multiple clues throughout the text for these kinds of answers.",R,2,3,P,6,2,Story,The Old House,0,a,1
R3.1.1_E,“Probably just a bat or a bird or a ...” Why does the sentence end like this ...?,"Refers to voice becoming too quiet to hear, information missing or sentence being unfinished","An ellipsis is unlikely to be a familiar paratextual term, putting this item into “exceeds.” However, there is a clue about the meaning, as Chang’s voice trails off, suggesting that he can no longer be heard or that he has failed to finish the sentence, making it possible to infer the purpose in this text.",R,3,1,E,6,2,Story,The Old House,0,a,1
R3.1.1_M,What is the purpose of this text? A. Tell a story B. Provide a warning C. Give instructions D. Give information,A. tell a story,"Identification of text type requires external knowledge of their different features and styles. Narratives are one of the earliest text types introduced. In English, the simpler, more familiar term story is used in the item. The text has prominent familiar story features, as it is concerned with the feelings and interactions between two characters. There is a simple plot: the characters need to rest, have reservations because the house is scary, but eventually decide to stay. The incorrect options are text types for which there is little support in the text, meaning there is little competing information.",R,3,1,M,6,2,Story,The Old House,0,a,1
R3.1.2_E,"“’Let’s go in,’ whispered Chang.” “Whispered” tells you how Chang spoke. Copy two different words from the text that tell you other ways that the boys speak.","Refers to two of: boldly, trailed (off), hissed, bravely","At this level, the purpose of word selection to describe how Chang speaks has been provided with an example to ensure the task is clear. There are only three other examples and these are widely separated, making the evidence less prominent. “Boldly” and “bravely” are more commonly used to refer to behavior rather than speech. Similarly, “trailed off” is a less common way of describing speech.",R,3,1,E,6,2,Story,The Old House,0,a,2
R3.1.2_M,“The door slowly creaked open.” “Creaked” is a good description of the sound the door makes. Copy two or more words from the text that are good descriptions of sounds.,"Any two of: groan, sharp, drip, clattering, scraping, howling","At this level, the purpose of word selection to emphasize sound has been provided with an example to ensure the task is clear. There are multiple examples of the similar use of words in the text, making the evidence prominent.",R,3,1,M,6,2,Story,The Old House,0,a,2
R1.2.1_E,List two sounds made by doors.,"Refers to two of: “creak,” “groan,” or “scraping”","There are several references to doors in the text, so the word can be directly matched, but only some references to a door have an associated sound described nearby. There is extensive competing information as several other sounds are heard, but these are not caused by a door.",R,1,2,E,6,2,Story,The Old House,0,a,1
R1.2.1_M,Why does Chang think no one lives in the house?,Refers to the door being unlocked or creaking open,"“No one lives” can be directly matched to the start of the second paragraph, with “here” in the text needing to be matched to “house” in the question. The relevant information is nearby but requires reading across a brief exchange of conversation to locate Chang’s directly stated reason that the door was not locked.",R,1,2,M,6,2,Story,The Old House,0,a,1
R1.2.1_P,Who was feeling very tired?,Refers to Lee,The information is prominent because it is in the first sentence. There is a direct match to “was very tired” with Lee as the adjacent information. There is limited competing information. There are only two characters and matching “feeling” alone could lead to incorrectly selecting Chang.,R,1,2,P,6,2,Story,The Old House,0,a,1
R1.3.1_E,Some things in the old house are broken and need to be fixed. Choose two broken things and describe how they are broken.,"Refers to two of: hinge off door, tap drips, iron roof clatters, door hangs/scrapes","Some support is provided for the meaning of “broken” in the question, as these are described as “things that need to be fixed.” Two synonymous matches to broken are required from four possibilities: a hinge falls off a door, a leaky tap drips, something is clattering on the iron roof, and a hanging door is scraping. The broken objects are scattered through the text, making it harder to find two pieces, and there is some competing information, as a bed is also mentioned, but it is not broken.",R,1,3,E,6,2,Story,The Old House,0,a,1
R1.3.1_M,What did the boys decide was good about the house?,"Refers to one of: being warm, out of the wind, able to rest","This information is not prominent. There are multiple examples of the house being scary. It is only towards the end that Chang says it is “better than being outside,” which provides a synonymous match with “good” as a desirable feature of the house. Chang then identifies warmth and rest. Either feature is acceptable. There is competing information, as the frightening elements of the house suggest it is unsuitable for resting and the howling wind suggests that it is cold.",R,1,3,M,6,2,Story,The Old House,0,a,1
R1.3.1_P,Which statement was said very quietly? A. “How can you be sure?” B. “The door wasn’t even locked!” C. “You go first.” D. “What’s that noise?”,A. “How can you be sure?”,"A simple synonymous match is required between “very quietly” in the question to “whispered” in the text to identify which of the given statements was whispered. The correct answer is the first option, which is a prominent statement at the start of the text. There is limited competing information as all the statements are from the text, but only one is clearly whispered.",R,1,3,P,6,2,Story,The Old House,0,a,1
R2.1.1_E,“The door wasn’t even locked!” How did Chang sound when he said this? A. Afraid B. Foolish C. Unsure D. Confident,D. confident,"The question must be linked to the text. There are limited clues for the meaning of Chang speaking boldly, which are provided by Chang suggesting they should go, implying confidence, and in bravely, saying they need to stay in the house towards the end. However, this is undermined by Chang also pushing Lee through the door first, suggesting Chang is not very brave. There is other strongly competing information, as there are many reasons for Chang to be afraid. (Note that “boldly” in English is likely to be an unknown word for grade 6 students. This may not apply in other languages.)",R,2,1,E,6,2,Story,The Old House,0,a,1
R2.1.1_P,“... something clattering on the iron roof above.” What does “clattering” mean?,Refers to making a noise/banging,"In English, “clattering” sounds like the noise that it makes, providing a prominent clue. There are also multiple other clues, as most of the text is about the noises that the boys hear that make them scared. (Note that “clattering” in English is likely to be an unknown word for grade six students. This may not apply in other languages.)",R,2,1,P,6,2,Story,The Old House,0,a,1
R2.2.1_E,Why does Chang push Lee forward so that Lee goes first?,Refers to also being a bit scared / not being as bold as he sounds,"This is an example of making an inference despite some strongly competing information, as there are implied contradictions in Chang’s behavior. Chang initiates going into the house and boldly declares the door wasn’t even locked, but by insisting Lee go first and pushing him forwards, Chang’s actions imply that he is actually a bit nervous and would rather Lee face whatever might be in the house first. A literal reading that Chang is being kind, or including Lee, is incorrect.",R,2,2,E,6,2,Story,The Old House,0,a,1
R2.2.3_M,Number these noises in the order in which the boys hear them: · Tap dripping · Hinge hitting a rock · Clattering on roof · Door creaking open,Order is: 3 2 4 1,Four events are ordered in the sequence in which they are chronologically presented in the text.,R,2,2,M,6,2,Story,The Old House,0,a,3
R2.2.3_P,What is the last noise the boys hear in the story? A. Groan B. Clatter C. Howling D. Scraping,C. Howling,The last event in a sequence of noises described in chronological order is identified. This is made easier by it is also mentioned near the end of the text.,R,2,2,P,6,2,Story,The Old House,0,a,3
R2.2.4_E,How does Chang feel about being in the house?,2 points: identifies ambivalence of bravery and fear 1point: identifies bravery only,"For “exceeds,” students who identify Chang’s ambivalence score two points. Chang initiates going into the house and boldly declares the door wasn’t even locked, but by insisting Lee go first and actually pushing him forwards, Chang’s actions imply that he is a bit nervous and wouldrather Lee face whatever might be in the house first. Chang’s voice trails off as he attempts to discount a noise as a bat or a bird, also giving a clue to his uncertainty, but then he bravely says they have to stay because they need to get warm and rest.",R,2,2,E,6,2,Story,The Old House,0,a,4
R2.2.4_M,How does Chang feel about being in the house?,2 points: identifies ambivalence 1point: identifies bravery only,"For “meets,” only a partial credit is achieved with the clues about Chang’s confidence considered and the clues about his uncertainty ignored.",R,2,2,M,6,2,Story,The Old House,0,a,4
R2.2.4_P,Why doesn’t Lee want to stay in the house?,Refers to not liking it / being scary,"Lee’s point of view about not liking the house and finding it scary is explicitly stated towards the end of the text. There are multiple earlier clues that Lee is finding the experience frightening. There is some limited competing information, as Chang is behaving bravely at times, but the characters’ names are used frequently, making pronoun references easy to follow.",R,2,2,P,6,2,Story,The Old House,0,a,4
R2.2.5_M,Describe one piece of evidence that shows that Chang is also afraid.,"Refers to one of: pushing Lee through first, voice trailing off","Chang never acknowledges that he is afraid. He speaks boldly at first and bravely at the end, but there are prominent clues about his fear in pushing Lee through the door first and his voice trailing off. There is limited competing information, with two characters making confusion possible; however, the characters’ names are used frequently, making pronoun references easy to follow.",R,2,2,M,6,2,Story,The Old House,0,a,5
R2.2.5_P,Lee says the house is scary. Describe one thing Lee does that shows he is afraid.,"Refers to one of: whispers, grabs Chang’s arm, hisses","Lee says that the house is scary. Grabbing Chang’s arm is the most obvious evidence of his fear, but whispering and hissing are also indications that he is trying to be inconspicuous, which also suggests fear. Apart from the final sentence, all Lee’s previous actions are prompted by fear.",R,2,2,P,6,2,Story,The Old House,0,a,5
R2.2.6_M,What did the boys decide to do in the end?,Refers to staying in the house,"Connections need to be made across the last four sentences to identify that Chang wants to stay and rest, and despite his initial reluctance, Lee finally decides Chang is correct, clearly implying that they will both stay in the house.",R,2,2,M,6,2,Story,The Old House,0,a,6
R3.1.3_M,Who do you think is most likely to read this text? Give a reason for your opinion.,"Refers to children or another possible audience with a plausible reason, e.g., children—it is a simple story; teachers—to use in class","Narratives are a familiar text type. The text has prominent features of a simple story, as it is concerned with the feelings and interactions between two characters. There is a simple plot: the characters need to rest, have reservations because the house is scary, but eventually decide to stay. This makes for prominent clues that the audience is likely children, or people concerned with children, such as a teacher reading to the class or a parent reading to children, or someone who is learning to read themselves. A simple reason is required to allow for plausible justification of a range of possible audiences depending on context.",R,3,1,M,6,2,Story,The Old House,0,a,3
R3.2.1_E,Chang seems to be quite brave in this story. What kind of a boy do you think Lee is? Use evidence from the text to support your opinion.,Supports an opinion about Lee’s character with relevant evidence,"Chang being quite brave is provided as an example to show that the kind of answer required is about character attributes. There are several plausible ways to describe Lee. Multiple clues support forming the opinion that Lee is cautious and nervous about entering and being in the house. He is easily scared. He is also very tired, but willing to go along with Chang, so this would support an opinion that Lee is a follower or willing to try hard to keep up with Chang. Any plausible opinion is acceptable, but it has to be supported with relevant evidence from the text for “exceeds.” In this case, a justifiable opinion about Lee is not contrary to expectations, but requires careful consideration of implied ideas to make and support a generalization.",R,3,2,E,6,2,Story,The Old House,0,a,1
R3.2.1_M,Do you think the boys should stay in the house? Use evidence from the text to support your opinion.,"Says Yes or No and uses plausible evidence, e.g., Yes, they need to rest; No, it is not their house","The boys need shelter, so they enter a house that appears to be empty but is also a bit scary. An on-balance judgment is required about the merits or desirability of their actions. There is sufficient evidence in the text to support a range of views and perspectives. The challenge is to form a view and then select the relevant evidence.",R,3,2,M,6,2,Story,The Old House,0,a,1
R3.2.1_P,Chang seems to be quite brave in this story. What kind of a boy do you think Lee is?,Provides a plausible opinion about Lee,"Chang being quite brave is provided as an example to show that the kind of answer required is about character attributes. There are several plausible ways to describe Lee. Multiple clues support forming the opinion that Lee is cautious and nervous about entering and being in the house. He is easily scared. He is also very tired, but willing to go along with Chang, so this would support an opinion that Lee is a follower or willing to try hard to keep up with Chang. Any plausible opinion is acceptable and does not have to be supported with evidence for “partial.”",R,3,2,P,6,2,Story,The Old House,0,a,1
R3.3.1_E,"At the start, Chang says, “No one lives here anymore.” When he says this, does he know it is a fact or is it his opinion? Give a reason.",Selects opinion and identifies that an unlocked door does not ensure that the house is unoccupied,"Distinguishing between factual information and opinion can be challenging. For “exceeds” at this level, less prominent clues are provided. Chang’s statement at the start of the text appears to be an assertion of fact, but the only evidence he has is that the door was unlocked, which is insufficient. At this stage, this statement is an opinion.",R,3,3,E,6,2,Story,The Old House,0,a,1
R3.3.1_M,Which of the following is an opinion? A. Lee was very tired. B. The door wasn’t even locked. C. I don’t like this place. D. We are warm and we can rest.,C. I don’t like this place.,"Distinguishing between factual information and opinion can be challenging. For “meets” at this level, prominent clues are provided, as the correct option clearly expresses a personal opinion by using a personal pronoun and expressing dislike. The other statements are factual descriptions of the state of things.",R,3,3,M,6,2,Story,The Old House,0,a,1
R2.2.2_M,What does the information in the table suggest about the amount of fish that Seb sells? Give a reason for your answer.  ,Refers to selling a lot of fish because it comes three times / more fish deliveries than anything else / small fresh amounts / people want fresh fish,"The information about fish deliveries in the table needs to be connected to identify that fish are delivered three out of four days, or more frequently than any other goods. Various interpretations or explanations are acceptable, as implied by the alternative credit-worthy answers provided. There is limited competing information in the frequency of delivery of the other goods that must be considered relative to the fish. ",R,2,2,M,6,3,Information (Non-continuous),Seb’s Delivery Schedule,0,a,2
R3.1.1_M,Why does the table only have columns for some days of the week?  ,Refers to these being the only days goods are delivered  ,"This item requires thinking about the structure of the table. The main idea of the table showing what the boats bring Seb each day is explicitly stated; however, the purpose of leaving some days out of the table is implied: these are the days when there are no deliveries. This feature of the table is simple to interpret and there is no competing information, as there are no other likely reasons these days would be omitted.",R,3,1,M,6,3,Information (Non-continuous),Seb’s Delivery Schedule,0,a,1
R3.1.3_E,Seb and her customers use this table so she knows which goods are coming each day. Name one other different group of people who would use this table.  ,"Refers to one of: boat pilot, goods packers, goods suppliers     ","The sentences at the beginning of the text state that Seb is the audience for or user of the information in the table, and it is implied that Seb’s customers are other likely users of the table’s information (“goods for her to sell”). Generating one other plausible additional user requires common sense. As the goods come by boat, it is implied that the people supplying the goods, packing the goods, and/or piloting the boat also need to know which goods are required each day. It is the extent of the extrapolation required to consider how the needs of other users might be met by the same table, rather than clues or competing information, that puts this item in the “exceeds minimum proficiency” category.",R,3,1,E,6,3,Information (Non-continuous),Seb’s Delivery Schedule,0,a,3
R3.2.1_M,Look at the kinds of goods delivered in the morning compared with the afternoon. What do you think could explain the difference?,"Refers to morning goods being perishable: so, needing ice / being cooler in the morning / not keeping so well",An opinion about why certain goods come in the morning needs to be supported by common knowledge using prominent information from the table. The information about the morning ice deliveries suggests that the morning goods are perishable and likely require ice. Delivering these goods in the cooler morning or possibly the need for these goods to be sold more quickly are also acceptable explanations.,R,3,2,M,6,3,Information (Non-continuous),Seb’s Delivery Schedule,0,a,1
R1.2.2_E,Name two things that the boat only brings once a week.  ,"Refers to two of: meat, milk, batteries, soap, rope, tea, coffee, dried beans, sugar, flour",This information requires careful scanning to ensure that the goods selected are not repeated elsewhere in the table. Limited matching is required as the days of the week are clearly labeled on the table. ,R,1,2,E,6,3,Information (Non-continuous),Seb’s Delivery Schedule,0,a,2
R1.2.2_M,Which day does the boat bring flour?  How many days each week does the boat bring goods? Circle the number 1 2 3 4 5 6 7,Refers to Wednesday   Circles 4   ,"Flour needs to be located in the table and then the column heading identified. Flour is not prominent, as it is in near the middle of the table. There is competing information for the other goods in the table and for the three other days goods are delivered. The column headings for each day of the week need to be counted. There are only four days, so counting skills required are minimal.  ",R,1,2,M,6,3,Information (Non-continuous),Seb’s Delivery Schedule,0,a,2
R1.2.2_P,Which day does the boat bring goods to Seb? A. Friday B. Saturday C. Sunday D. Monday,D. Monday     ,"The information about the days that goods are delivered is prominent because it is in the column headings in the first row of the table. Only one day can be matched. Monday is also prominent, as it is the first column heading.   ",R,1,2,P,6,3,Information (Non-continuous),Seb’s Delivery Schedule,0,a,2
R1.2.3_E,"Name one thing that comes every Tuesday and Thursday, but no other days?",Refers to fruit or vegetables  ,"There are three criteria that must be met: the goods must come on Tuesdays, on Thursdays, and on no other days. Limited matching is required, as the days of the week are clearly labeled on the table.",R,1,2,E,6,3,Information (Non-continuous),Seb’s Delivery Schedule,0,a,3
R1.3.2_E,When does the boat bring cleaning materials? Give the day and time.,Refers to Monday afternoon ,A synonymous match is required between “cleaning materials” and “soap.” Both the row and column heading must be matched to identify the day and time. ,R,1,3,E,6,3,Information (Non-continuous),Seb’s Delivery Schedule,0,a,2
R1.3.2_M,Name one afternoon when the boat only brings food. ,Refers to Tuesday or Wednesday ,The information requires scanning the goods delivered each day to eliminate any days where non-edible goods are delivered. Food is a synonymous match to the examples of edible goods in the table. Two days meet this criterion. Either is acceptable.,R,1,3,M,6,3,Information (Non-continuous),Seb’s Delivery Schedule,0,a,2
R1.3.2_P,Which kind of food is delivered only in the morning? A. Fruit B. Rice C. Fish D. Sugar,C: Fish     ,"The information is prominent, as it is repeated across the first row. Kind of food is a synonymous match to the example of fish. There is limited competing information from the goods delivered in the afternoon.   ",R,1,3,P,6,3,Information (Non-continuous),Seb’s Delivery Schedule,0,a,2
R1.3.3_E,"What cannot be eaten, and is delivered twice each week? ",Refers to candles  ,There are two criteria: “cannot be eaten” and “delivered twice each week.” A synonymous match is required between “cannot be eaten” and goods in the table that match this description. Candles are the only goods that meet these two criteria.,R,1,3,E,6,3,Information (Non-continuous),Seb’s Delivery Schedule,0,a,3
R2.2.2_P,Name one day when there are no deliveries from the boat.,"Refers to Friday, Saturday, or Sunday","The information about days of delivery in the column headings needs to be identified. By implication, any other days do not have deliveries.",R,2,2,P,6,3,Information (Non-continuous),Seb’s Delivery Schedule,0,a,2
R2.2.4_E,"In the story, Nazneen often disagreed with Samsur. How did this make Samsur feel? Use evidence from the text to give a reason for your answer.","Refers to Samsur’s lack of concern or enthusiastic continuation, or his willingness to follow Nazneen’s ideas when challenged over going into the hole","Samsur’s responses to Nazneen’s frequent disagreements with him are described through what he says and does, but his responses are not explicitly stated. Samsur appears somewhat irrepressible. He gaily pursues his ideas of gold in the hole regardless of being called silly, and is not put off by Nazneen’s assertions that the hole is full of dirt. He is set back when challenged to enter the hole, but quickly switches to follow Nazneen’s suggestions of dropping a stone in the hole. Any one of these multiple pieces of evidence are sufficient to describe Samsur’s point of view in his interactions with Nazneen. There is limited competing information, as Samsur’s behavior is quite consistent.",R,2,2,E,7,1,Story,The Hole,0,a,4
R2.2.5_E,"When Nazneen dropped the stone into the hole, there was a splash. What is another piece of evidence that there was water at the bottom of the hole?",Refers to being shiny,"The idea that the hole has water at the bottom is implied, with the splash providing an obvious clue. The other evidence of water is that Samsur notices something shiny at the beginning. However, that this first observation is evidence of water is only apparent after reading the whole text. While the mention of “shiny” is at the beginning of the text, the only context provided for what this might be is Samsur’s guesses at gold objects. The idea that that the “shiny something” is water is consequently less prominent.",R,2,2,E,7,1,Story,The Hole,0,a,5
R2.2.5_M,Samsur suggested that a king had buried a golden sword in the hole. Write one piece of evidence that shows that Nazneen did not believe him.,Refers to one of the following: Nazneen believes Samsur sees things / creates objects out of nothing; Nazneen suggests there is just dirt and more dirt; Nazneen says the hole is made by a wild animal; or Nazneen said the gold coin was a silly idea,"There is prominent evidence (multiple different clues) that Nazneen does not believe Samsur’s ideas about a king burying his golden sword in the hole, but she does not explicitly say this. Nazneen tells Samsur not to be silly in the opening lines of the text and explains that Samsur is always seeing things and creating objects out of nothing. Nazneen counters Samsur’s suggestion of a sword with the idea that there is only dirt and that a wild animal made the hole. Any one of these pieces of evidence is sufficient.",R,2,2,M,7,1,Story,The Hole,0,a,5
R2.2.6_M,Which is the best description of Samsur? A. Brave B. Imaginative C. Sensitive D. Bossy,B: Imaginative,"There are several early examples of Samsur’s imagination, as he makes wild guesses about what is down the hole. Nazneen also says her younger brother is always seeing things and creating objects out of nothing. Samsur’s imagination is also at work as he invents a sore foot to avoid going down the hole. This prominent information (because there are multiple examples) needs to be synthesized to generalize that Samsur is imaginative. There is clear evidence in the text to dismiss the incorrect options.",R,2,2,M,7,1,Story,The Hole,0,a,6
R3.2.1_M,Do you think Nazneen is kind to Samsur? Yes No Use evidence from the text to give a reason for your opinion.,"Says Yes, and refers to Nazneen continuing to play with Samsur, or just smiling when he was clearly making an excuse OR Says No and refers to Nazneen saying Samsur is silly or refusing to believe him","There is prominent evidence in the text to support opposing opinions about whether Nazneen is kind or not. The evidence is prominent, as the main focus of the text is the interactions between Nazneen and Samsur and the way that she treats him as the older sister. The relevant evidence has to be identified from the text to support the selected opinion.",R,3,2,M,7,1,Story,The Hole,0,a,1
R1.2.1_M,What did Nazneen drop into the hole?,Refers to a stone,"The words “Nazneen drop” can be closely matched to “Nazneen dropped.” The required information, “the stone,” is adjacent, but some tracking back is also required to identify that she is dropping the stone into the hole. The information is not prominent, as it is towards the end of the text.",R,1,2,M,7,1,Story,The Hole,0,a,1
R1.2.1_P,"Who said, “Maybe it’s a gold coin?”",Samsur,"The quote can be directly matched and is prominent in the opening lines of the text. Samsur is named as the speaker in the previous sentence, so the information is adjacent and there is limited competing information, as Nazneen is the other character and a king is also mentioned.",R,1,2,P,7,1,Story,The Hole,0,a,1
